x, y, z
-0.52996,1.39697,-0.786368
-0.595404,1.42186,-0.844594
-0.777538,1.0786,-0.756122
-0.692668,0.994112,-0.729921
-0.583908,0.987785,-0.710844
-0.561022,1.04178,-0.700304
-0.543569,1.09077,-0.693501
-0.578552,1.14285,-0.715888
-0.681716,1.15842,-0.756325
-1.09392,0.936633,-0.762164
-1.1378,0.804301,-0.735687
-1.02936,0.781835,-0.748038
-0.87633,0.906854,-0.743011
-0.9612,0.991342,-0.769212
-0.852202,0.589653,-0.762544
-0.882596,0.688323,-0.759687
-1.00877,0.648067,-0.757141
-0.994928,0.542047,-0.753755
-0.693592,0.737296,-0.749241
-0.663197,0.638626,-0.752098
-0.53058,0.699942,-0.726955
-0.559496,0.75448,-0.730409
-0.592475,0.469953,-0.746774
-0.472705,0.553366,-0.717665
-0.51011,0.622478,-0.725599
-0.642727,0.561161,-0.750742
-0.84425,0.148,-0.718251
-0.951418,0.080443,-0.691697
-0.763206,-0.012468,-0.706579
-0.731629,0.076601,-0.723481
-0.581103,0.213742,-0.748093
-0.66055,0.295451,-0.749928
-0.771368,0.224275,-0.741431
-0.658747,0.152876,-0.746661
-0.425053,0.69235,-0.685041
-0.387649,0.623237,-0.677106
-0.338383,0.704097,-0.645399
-0.366464,0.740188,-0.65258
0.113596,0.798426,-0.630574
0.11127,0.866045,-0.629616
0.066831,0.898456,-0.612023
0.177529,0.875844,-0.638411
0.179854,0.808225,-0.639369
0.241157,0.809622,-0.627038
0.214761,0.880816,-0.633073
0.232473,1.05815,-0.536641
0.24286,1.00637,-0.55268
0.28293,0.991182,-0.525281
0.254901,1.06972,-0.510097
-0.003929,1.04811,-0.560729
-0.071057,1.07423,-0.546458
-0.105136,1.06274,-0.534282
-0.080325,1.00467,-0.525541
-0.042556,0.973539,-0.545025
-0.000238,1.00549,-0.568036
-0.162801,0.851178,-0.498498
-0.198383,0.83904,-0.513354
-0.202694,0.773486,-0.532567
-0.276232,0.363991,-0.694939
-0.346343,0.368246,-0.703095
-0.41355,0.264294,-0.730817
-0.311125,0.231874,-0.732337
-0.097797,0.50457,-0.665756
-0.066099,0.592565,-0.644927
-0.080113,0.632084,-0.608691
-0.145178,0.619766,-0.601851
-0.162858,0.501038,-0.648802
-0.065124,0.36384,-0.741302
-0.096281,0.233106,-0.773426
-0.074712,0.233356,-0.791506
-0.0371,0.340331,-0.77295
0.064452,0.26284,-0.781154
0.02586,0.339332,-0.777172
-0.014626,0.33498,-0.790966
0.034731,0.539732,-0.704837
-0.016646,0.58229,-0.693449
-0.02032,0.470786,-0.745926
-0.048344,0.494295,-0.714278
0.020166,0.475138,-0.732132
0.2637,0.258697,-0.69511
0.254814,0.387846,-0.668687
0.180381,0.440904,-0.676375
0.163437,0.281246,-0.721759
0.616571,0.195028,-0.629742
0.584785,0.17763,-0.651211
0.680179,0.102336,-0.670416
0.685338,0.145734,-0.644115
0.501141,0.391184,-0.605017
0.492988,0.33847,-0.62179
0.53657,0.236536,-0.639208
0.568356,0.253934,-0.617739
0.307287,0.902136,-0.560762
0.267217,0.917323,-0.588161
0.260192,0.885935,-0.608259
0.272829,1.21144,-0.526431
0.303138,1.21617,-0.563896
0.273662,1.26401,-0.58372
0.254522,1.23724,-0.543553
0.470994,0.696805,-0.564842
0.431388,0.695757,-0.561604
0.474901,0.570874,-0.573109
0.512963,0.54717,-0.576521
0.52142,0.633635,-0.606204
0.522196,0.846022,-0.672562
0.457898,0.87068,-0.605293
0.483942,0.769598,-0.60079
0.534368,0.706428,-0.642152
0.380061,1.30761,-0.693427
0.361848,1.33804,-0.689996
0.339446,1.32878,-0.680055
0.338692,1.23762,-0.618864
0.393769,1.24641,-0.6873
0.501288,1.15371,-0.767904
0.538197,1.09325,-0.782895
0.626279,1.0739,-0.822841
0.591953,1.15807,-0.82416
0.462663,1.37028,-0.789628
0.427313,1.40207,-0.777499
0.407711,1.37968,-0.7518
0.425924,1.34925,-0.755231
0.507844,1.43755,-0.823298
0.451227,1.46737,-0.806013
0.440251,1.4276,-0.792782
0.475601,1.39581,-0.804911
0.644415,1.61832,-0.886163
0.710408,1.69225,-0.912851
0.607251,1.70927,-0.897794
0.563025,1.65331,-0.873411
0.677404,1.41308,-0.879583
0.753216,1.45794,-0.896729
0.669514,1.50814,-0.882626
0.613672,1.44887,-0.860913
0.658095,1.26125,-0.858868
0.754447,1.26386,-0.882746
0.686436,1.34507,-0.880193
0.635028,1.31963,-0.85945
0.735214,1.07361,-0.849429
0.840722,1.05356,-0.863193
0.79724,1.1604,-0.874627
0.700888,1.15778,-0.850749
1.07385,0.758726,-0.826567
1.08013,0.908451,-0.855872
0.971298,0.92504,-0.853136
0.975172,0.791182,-0.831696
0.874104,0.655299,-0.800197
0.796905,0.65531,-0.789881
0.77069,0.543337,-0.746331
0.850404,0.506858,-0.756744
0.626411,0.362024,-0.625774
0.653966,0.463306,-0.672472
0.580499,0.523082,-0.643057
0.572042,0.436617,-0.613373
0.798698,0.091533,-0.661185
0.793539,0.048134,-0.687485
0.913743,0.026844,-0.69325
0.92252,0.084341,-0.677742
1.11346,0.429391,-0.745246
1.18759,0.382269,-0.741843
1.25258,0.545814,-0.780006
1.1521,0.572038,-0.784595
-1.343,0.815821,-0.730629
-1.29912,0.948153,-0.757106
-1.35636,0.992028,-0.806606
-1.44162,0.829483,-0.7607
-1.22361,1.14364,-0.850887
-1.16637,1.09976,-0.801387
-1.03365,1.15447,-0.808435
-1.10927,1.24648,-0.88598
-1.41271,0.270012,-0.678177
